,protName,core,fcc,r,zp,eads,psi,theta,ph,sd,eave
49,1hzh,Ag,111,4.0,-30.0,-133.38603,175.0,20.0,7.3,6.3877215000000005,-133.38599025748675
50,1hzh,Ag,111,45.0,-10.0,-160.30437,0.0,125.0,7.3,23.881266300000004,-160.2865849718605
51,1hzh,Ag,111,25.0,-10.0,-155.55733,5.0,130.0,7.3,12.661450800000003,-155.5573296756831
52,1hzh,Ag,111,15.0,-30.0,-163.50251,120.0,60.0,7.3,17.3199171,-163.34679535990605
53,1hzh,Ag,111,40.0,0.0,-177.25199,80.0,85.0,7.3,12.600545400000001,-177.2519899789936
54,1hzh,Ag,111,30.0,0.0,-160.95054,180.0,35.0,7.3,33.7717206,-160.95053435263924
55,1hzh,Ag,111,8.0,0.0,-140.92926,175.0,25.0,7.3,15.8184471,-140.92791412697943
56,1hzh,Ag,111,8.0,-30.0,-146.47292,175.0,25.0,7.3,11.7198822,-146.47283721131055
57,1hzh,Ag,111,30.0,-40.0,-150.87493,180.0,35.0,7.3,29.714788500000004,-150.87362546200336
58,1hzh,Ag,111,2.0,-10.0,-102.79735,355.0,170.0,7.3,10.571021100000001,-102.28905026775143
59,1hzh,Ag,111,25.0,-60.0,-157.98856,180.0,35.0,7.3,25.1738751,-157.72052320166057
60,1hzh,Ag,111,2.0,-20.0,-115.22286,355.0,170.0,7.3,3.6075120000000007,-115.21293821232551
61,1hzh,Ag,111,20.0,-20.0,-159.1087,120.0,65.0,7.3,18.6222369,-159.07559766443697
62,1hzh,Ag,111,25.0,-20.0,-162.67931,180.0,35.0,7.3,37.617774600000004,-162.63921423758634
63,1hzh,Ag,111,4.0,-20.0,-126.42413,175.0,20.0,7.3,9.546162,-126.2590758468717
64,1hzh,Ag,111,45.0,-20.0,-155.05484,80.0,85.0,7.3,26.4224109,-155.0313212455546
65,1hzh,Ag,111,4.0,0.0,-130.71584,175.0,20.0,7.3,12.3998763,-130.6359086992357
66,1hzh,Ag,111,40.0,-50.0,-148.36323,0.0,125.0,7.3,25.9110147,-148.27556957230183
67,1hzh,Ag,111,50.0,-60.0,-145.39312,300.0,55.0,7.3,2.4696567000000003,-144.94128967836835
68,1hzh,Ag,111,50.0,-20.0,-145.79607,175.0,35.0,7.3,20.9820846,-145.73703691647245
69,1hzh,Ag,111,15.0,0.0,-180.27679,180.0,30.0,7.3,16.552972200000003,-180.27678993989144
70,1hzh,Ag,111,20.0,-30.0,-163.93607,120.0,65.0,7.3,16.0385382,-163.93605995501724
71,1hzh,Ag,111,35.0,-50.0,-158.98251,80.0,85.0,7.3,30.583549500000004,-158.97403622042557
72,1hzh,Ag,111,20.0,-40.0,-166.67137,180.0,30.0,7.3,17.625415200000003,-166.6675995146766
73,1hzh,Ag,111,30.0,-20.0,-165.47886,0.0,130.0,7.3,19.6854918,-165.46304669616276
74,1hzh,Ag,111,15.0,-60.0,-164.02162,120.0,60.0,7.3,17.955514500000003,-164.02157683585273
